epoch	kl_beta	train_loss	train_reconstruction	train_kl	train_perplexity	train_token_accuracy	train_eos_accuracy	validation_loss	validation_reconstruction	validation_kl	validation_perplexity	validation_token_accuracy	validation_eos_accuracy	epoch_seconds
1	0.005000000000000001	3.121875237902149	3.1195683602639845	0.5201770587948685	22.636606675196905	0.0763770211647167	0.02888086642599278	3.1764347553253174	2.9649319648742676	2.1150288581848145	19.393383765283644	0.12172232956113718	0.0	0.7153287408873439
2	0.010000000000000002	2.9167508924050454	2.8757299997888977	3.9805386711974435	17.738368401414412	0.12905876166688576	0.0	3.4343390464782715	2.7537224292755127	6.806167125701904	15.700968985564725	0.12448247308860061	0.0	0.14880511723458767
3	0.015	2.7802394529542336	2.6948363102264374	5.690338088286913	14.803095439616769	0.15443013014328907	0.0	2.9758355617523193	2.7041735649108887	2.7166190147399902	14.941963023934216	0.14932376483577145	0.0	0.14898885414004326
4	0.020000000000000004	2.6759052113075117	2.64220033619522	1.695162597330899	14.044071314054658	0.1893321940318128	0.0	2.729132890701294	2.674011707305908	0.5512115359306335	14.498014475205093	0.17444107093568867	0.0	0.1535432282835245
5	0.025	2.62146484894873	2.6126567352001437	0.3481133498977668	13.63522796414249	0.2120744051531484	0.0	2.681544303894043	2.657926082611084	0.23618321120738983	14.26667049999843	0.17416505658294232	0.0	0.15667122323065996
6	0.03	2.57612445982785	2.571777578603427	0.21137280815990392	13.089070625736174	0.22291967924280268	0.0	2.6387972831726074	2.6197304725646973	0.190667986869812	13.732021929599274	0.18603367375103505	0.0	0.1751333186402917
7	0.034999999999999996	2.52649101367496	2.5215294941881727	0.15770217969959824	12.447620674790265	0.23274615485736821	0.0	2.596419095993042	2.5828397274017334	0.1357947289943695	13.234667696121328	0.19459011868617168	0.0	0.1769404010847211
8	0.04000000000000001	2.4778645227962453	2.47398450124024	0.10591485563813564	11.869647378621291	0.24369002234783751	0.0	2.560034990310669	2.549839973449707	0.10194911807775497	12.80505447000204	0.2023185205630693	0.0	0.18025864101946354
9	0.045000000000000005	2.426815115587806	2.4232367945121718	0.08321535269921437	11.282318824735922	0.25614565531747074	0.0	2.524798631668091	2.5175349712371826	0.07263725996017456	12.397997544668769	0.21115097985095224	0.0	0.18728539813309908
10	0.05	2.3750086459011808	2.3730307228072833	0.054585667333770745	10.729862293830626	0.267845405547522	0.0	2.4890096187591553	2.4849846363067627	0.040250133723020554	12.000935874717479	0.20673475020701076	0.0	0.18570634070783854
