gen_0	ref_000971	43.478	23	99	128	11	33	76	94	48	16.9
gen_0	ref_000946	43.478	23	99	127	11	33	76	94	52	16.9
gen_0	ref_001079	75.000	8	99	128	11	18	76	83	52	16.9
gen_0	ref_000983	75.000	8	99	127	11	18	76	83	53	16.9
gen_0	ref_001143	43.478	23	99	123	11	33	75	93	92	16.2
gen_0	ref_000866	43.478	23	99	126	11	33	75	93	99	16.2
gen_0	ref_000898	30.556	36	99	147	60	91	43	78	124	15.8
gen_0	ref_001159	62.500	8	99	128	11	18	76	83	128	15.8
gen_0	ref_001167	35.294	17	99	156	42	58	74	90	172	15.4
gen_0	ref_001056	71.429	7	99	156	11	17	82	88	228	15.0
gen_0	ref_000977	50.000	16	99	135	42	57	68	80	231	15.0
gen_0	ref_000977	36.000	25	99	135	25	49	39	62	644	13.9
gen_0	ref_000987	71.429	7	99	148	11	17	77	83	246	15.0
gen_0	ref_001093	41.176	17	99	145	42	58	66	79	255	15.0
gen_0	ref_001029	50.000	10	99	133	50	59	88	97	296	14.6
gen_0	ref_001036	50.000	10	99	139	50	59	89	98	322	14.6
gen_0	ref_001207	57.143	7	99	147	11	17	75	81	382	14.2
gen_0	ref_001207	80.000	5	99	147	50	54	89	93	663	13.9
gen_0	ref_001142	40.909	22	99	137	31	51	115	136	393	14.2
gen_0	ref_000363	71.429	7	99	104	1	7	1	7	434	14.2
gen_0	ref_000873	50.000	12	99	147	50	61	117	128	449	14.2
gen_0	ref_000373	71.429	7	99	102	1	7	1	7	454	14.2
gen_0	ref_000362	71.429	7	99	104	1	7	1	7	455	14.2
gen_0	ref_000277	71.429	7	99	102	1	7	1	7	463	14.2
gen_0	ref_000361	71.429	7	99	102	1	7	1	7	472	14.2
gen_0	ref_000055	71.429	7	99	102	1	7	1	7	491	13.9
gen_0	ref_001055	57.143	7	99	146	11	17	74	80	507	13.9
gen_0	ref_000393	71.429	7	99	103	1	7	1	7	516	13.9
gen_0	ref_000326	71.429	7	99	102	1	7	1	7	525	13.9
gen_0	ref_000876	57.143	7	99	150	11	17	75	81	544	13.9
gen_0	ref_000400	71.429	7	99	102	1	7	1	7	557	13.9
gen_0	ref_000874	57.143	7	99	150	11	17	75	81	560	13.9
gen_0	ref_000422	66.667	9	99	91	50	58	81	89	562	13.9
gen_0	ref_001220	66.667	6	99	144	49	54	87	92	734	13.5
gen_0	ref_001011	80.000	5	99	135	50	54	90	94	743	13.5
gen_0	ref_000966	66.667	6	99	135	49	54	89	94	750	13.5
gen_0	ref_000997	57.143	7	99	149	11	17	77	83	765	13.5
gen_0	ref_001032	80.000	5	99	135	50	54	90	94	780	13.5
gen_0	ref_001191	40.909	22	99	136	42	63	70	85	795	13.5
gen_0	ref_001191	80.000	5	99	136	50	54	89	93	891	13.5
gen_0	ref_000938	80.000	5	99	134	50	54	89	93	817	13.5
