gen_0	gen_0	100.000	99	99	99	1	99	1	99	1.17e-67	191
gen_0	gen_15	95.122	82	99	102	17	98	21	102	1.48e-51	150
gen_0	gen_15	80.000	5	99	102	87	91	17	21	676	11.9
gen_0	gen_36	93.976	83	99	100	17	99	18	100	3.36e-51	149
gen_0	gen_36	71.429	7	99	100	71	77	1	7	278	13.1
gen_0	gen_141	89.535	86	99	94	15	98	8	93	9.67e-50	145
gen_0	gen_86	86.747	83	99	102	17	99	20	102	1.08e-47	140
gen_0	gen_156	85.542	83	99	93	17	99	11	93	4.32e-47	138
gen_0	gen_17	85.542	83	99	115	17	99	33	115	5.37e-47	139
gen_0	gen_158	76.289	97	99	115	3	99	20	115	1.09e-46	138
gen_0	gen_73	86.420	81	99	103	19	99	23	103	2.40e-46	137
gen_0	gen_182	69.608	102	99	113	5	99	12	113	1.54e-45	135
gen_0	gen_88	77.174	92	99	98	7	98	2	93	1.77e-45	134
gen_0	gen_180	84.146	82	99	93	18	99	12	93	2.08e-45	134
gen_0	gen_108	83.133	83	99	103	16	98	19	101	4.11e-44	131
gen_0	gen_160	82.500	80	99	90	17	96	11	90	3.01e-43	129
gen_0	gen_81	86.747	83	99	93	7	89	2	84	8.45e-43	127
gen_0	gen_122	80.723	83	99	92	17	99	10	92	9.06e-43	127
gen_0	gen_74	92.857	70	99	103	17	86	21	90	9.65e-43	128
gen_0	gen_53	86.250	80	99	109	9	86	17	96	3.34e-42	127
gen_0	gen_3	94.286	70	99	105	17	86	23	92	5.36e-42	126
gen_0	gen_47	92.857	70	99	100	17	86	18	87	5.88e-42	125
gen_0	gen_138	92.857	70	99	94	17	86	12	81	7.22e-42	125
gen_0	gen_77	77.647	85	99	100	2	86	3	87	1.02e-41	125
gen_0	gen_154	72.917	96	99	121	13	99	26	121	2.01e-41	125
gen_0	gen_136	78.049	82	99	95	18	99	13	94	2.40e-41	124
gen_0	gen_5	91.429	70	99	101	17	86	16	85	2.46e-41	124
gen_0	gen_70	92.857	70	99	107	17	86	25	94	2.50e-41	124
gen_0	gen_133	78.313	83	99	106	17	99	24	106	3.60e-41	124
gen_0	gen_1	89.041	73	99	104	14	86	19	91	4.31e-41	124
gen_0	gen_192	78.824	85	99	90	15	99	10	90	9.22e-41	122
gen_0	gen_131	73.494	83	99	94	15	97	10	92	2.07e-40	122
gen_0	gen_149	87.143	70	99	87	17	86	5	74	2.10e-40	121
