selection_rank	sequence_id	length	domain_status	domain_score	domain_evalue	model_coverage	domain_pass	constraint_score	conserved_sites_total	conserved_sites_covered	conserved_sites_matched	conservation_coverage	conservation_score	closest_reference_id	closest_reference_pident	closest_reference_effective_identity	closest_reference_query_coverage	closest_reference_target_coverage	closest_reference_evalue	novelty_score	uniqueness_score	nearest_candidate_id	nearest_candidate_identity	nearest_candidate_distance	sequence_evalue	sequence_score	hmm_from	hmm_to	alignment_from	alignment_to	selected_by_metric	source_metric_rank
1	gen_95	104	detected	62.1	4.4e-19	0.9743589744	True	0.9928229665	23	21	12	0.9130434783	0.5217391304	ref_000436	0.43333	0.3749971154	0.8653846154	1.046511628	7.01e-13	0.6250028846	0.8179157361	gen_51	0.4038461538	0.5961538462	3e-19	62.6	1	38	11	48	constraint_score	1
2	gen_109	86	detected	53.1	2.9e-16	1	True	0.4377990431	23	23	23	1	1	ref_000435	0.8046	0.8046	1.011627907	1	2.07e-45	0.1954	0.9159244081	gen_6	0.7907	0.2093	2.2e-16	53.5	1	39	11	49	conservation_score	1
3	gen_2	345	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_000683	0.23214	0.03768069565	0.1623188406	0.7567567568	573	0.9623193043	0.9625591708	gen_105	0.8058	0.1942							novelty_score	1
4	gen_55	94	not_detected	0	1000	0	False	0	23	23	11	1	0.4782608696	ref_000170	0.31707	0.2765929787	0.8723404255	0.9425287356	474	0.7234070213	0.9880429692	gen_195	0.1382985106	0.8617014894							uniqueness_score	1
5	gen_42	84	detected	60.9	1e-18	1	True	0.980861244	23	23	23	1	1	ref_000741	0.85714	0.85714	1	1	1.04e-48	0.14286	0.9249067943	gen_173	0.8488395349	0.1511604651	8e-19	61.3	1	39	11	49	constraint_score	2
6	gen_123	120	detected	50.5	1.8e-15	1	True	0.3301435407	23	23	23	1	1	ref_001104	0.64545	0.5819631148	0.9166666667	0.9016393443	9.62e-37	0.4180368852	0.9196361305	gen_97	0.4632352941	0.5367647059	1.2e-15	51.1	1	39	18	56	conservation_score	2
7	gen_167	512	not_detected	0	1000	0	False	0	23	19	4	0.8260869565	0.1739130435	ref_000078	0.33333	0.03906210937	0.1171875	0.6896551724	754	0.9609378906	0.9812441051	gen_2	0.08984396484	0.9101560352							novelty_score	2
8	gen_29	366	not_detected	0	1000	0	False	0	23	15	5	0.652173913	0.2173913043	ref_000864	0.28571	0.05464398907	0.1912568306	0.6306306306	23	0.9453560109	0.9819200921	gen_171	0.05737759563	0.9426224044							uniqueness_score	2
9	gen_161	70	detected	60.1	1.8e-18	1	True	0.9425837321	23	23	23	1	1	ref_001083	0.87143	0.8243256757	1	0.9459459459	2.05e-38	0.1756743243	0.9268512956	gen_101	0.7887338028	0.2112661972	1.4e-18	60.4	1	39	11	49	constraint_score	3
10	gen_173	86	detected	55.9	3.7e-17	1	True	0.6578947368	23	23	23	1	1	ref_001070	0.88372	0.88372	1	1	3.58e-51	0.11628	0.915110892	gen_6	0.88372	0.11628	2.9e-17	56.3	1	39	11	49	conservation_score	4
