selection_rank	sequence_id	length	standard_aa_only	duplicate_candidate	generation_cap_warning	low_complexity_warning	composition_outlier_checked	composition_js_divergence	composition_js_threshold	composition_outlier_warning	training_match_checked	exact_training_match	training_match_ids	reference_match_checked	exact_reference_match	reference_match_ids	qc_pass	qc_reasons	domain_status	domain_score	domain_evalue	model_coverage	domain_pass	constraint_score	conserved_sites_total	conserved_sites_covered	conserved_sites_matched	conservation_coverage	conservation_score	closest_reference_id	closest_reference_pident	closest_reference_effective_identity	closest_reference_query_coverage	closest_reference_target_coverage	closest_reference_evalue	novelty_score	uniqueness_score	nearest_candidate_id	nearest_candidate_identity	nearest_candidate_distance	sequence_evalue	sequence_score	hmm_from	hmm_to	alignment_from	alignment_to	aggregate_score
1	gen_161	70	True	False	False	False	True	0.02797606802	0.06061925601	False	True	False	[]	True	False	[]	True		detected	60.1	1.6e-18	1	True	0.9425837321	23	23	23	1	1	ref_001083	0.87143	0.8243256757	1	0.9459459459	2.05e-38	0.1756743243	0.9135952141	gen_101	0.7887338028	0.2112661972	1.2e-18	60.4	1	39	11	49	0.7579633176
2	gen_42	84	True	False	False	False	True	0.02131395013	0.06061925601	False	True	False	[]	True	False	[]	True		detected	60.9	8.8e-19	1	True	0.980861244	23	23	23	1	1	ref_000741	0.85714	0.85714	1	1	1.04e-48	0.14286	0.9076798901	gen_173	0.8488395349	0.1511604651	6.8e-19	61.3	1	39	11	49	0.7578502835
3	gen_95	104	True	False	False	False	True	0.07131533659	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	detected	62.1	3.7e-19	0.9743589744	True	0.9928229665	23	21	12	0.9130434783	0.5217391304	ref_000436	0.43333	0.3749971154	0.8653846154	1.046511628	7.01e-13	0.6250028846	0.7889362189	gen_51	0.4038461538	0.5961538462	2.5e-19	62.6	1	38	11	48	0.7321253001
4	gen_199	120	True	False	False	False	True	0.03492641064	0.06061925601	False	True	False	[]	True	False	[]	True		detected	59.3	2.7e-18	1	True	0.8971291866	23	21	13	0.9130434783	0.5652173913	ref_000864	0.73418	0.4833351667	0.6583333333	0.7117117117	6.21e-36	0.5166648333	0.9367075847	gen_56	0.4500026667	0.5499973333	2.1e-18	59.7	1	39	20	58	0.728929749
5	gen_194	99	True	False	False	False	True	0.02138296595	0.06061925601	False	True	False	[]	True	False	[]	True		detected	56.8	1.7e-17	1	True	0.7105263158	23	23	23	1	1	ref_000329	0.76289	0.7474780808	0.9797979798	1.010416667	1.31e-44	0.2525219192	0.9262373817	gen_142	0.6565687879	0.3434312121	1.1e-17	57.3	1	39	10	48	0.7223214042
6	gen_101	71	True	False	False	False	True	0.03998976006	0.06061925601	False	True	False	[]	True	False	[]	True		detected	59.3	2.7e-18	1	True	0.8971291866	23	23	22	1	0.9565217391	ref_000861	0.90141	0.90141	1	1	4.32e-42	0.09859	0.9168199344	gen_161	0.7887338028	0.2112661972	2e-18	59.8	1	39	11	49	0.717265215
7	gen_6	86	True	False	False	False	True	0.01380984537	0.06061925601	False	True	False	[]	True	False	[]	True		detected	59.2	3e-18	1	True	0.8875598086	23	23	23	1	1	ref_001077	0.93023	0.93023	1	1	3.65e-55	0.06977	0.9019189686	gen_173	0.88372	0.11628	2.3e-18	59.5	1	39	11	49	0.7148121943
8	gen_56	103	True	False	False	False	True	0.0507905843	0.06061925601	False	True	False	[]	True	False	[]	True		detected	58.2	6.1e-18	1	True	0.8062200957	23	21	11	0.9130434783	0.4782608696	ref_000864	0.6875	0.3963963964	0.6213592233	0.5765765766	2.4e-30	0.6036036036	0.9410311002	gen_199	0.4500026667	0.5499973333	4.9e-18	58.5	1	39	11	49	0.7072789173
9	gen_39	71	True	False	False	False	True	0.03153631034	0.06061925601	False	True	False	[]	True	False	[]	True		detected	55.6	3.9e-17	1	True	0.6220095694	23	23	20	1	0.8695652174	ref_000626	0.74242	0.6805516667	0.9295774648	0.9166666667	7.37e-30	0.3194483333	0.9202091071	gen_101	0.6338049296	0.3661950704	3.1e-17	55.9	1	39	11	49	0.6828080568
10	gen_97	136	True	False	False	False	True	0.03508155743	0.06061925601	False	True	False	[]	True	False	[]	True		detected	54.4	9.6e-17	1	True	0.5358851675	23	23	23	1	1	ref_001111	0.73723	0.7426508088	1.007352941	1.007352941	3.81e-55	0.2573491912	0.9098482425	gen_40	0.4852958824	0.5147041176	6.7e-17	54.9	1	39	24	62	0.6757706503
