selected_count	manual_review_count	mean_constraint_score	mean_conservation_score	mean_novelty_score	mean_uniqueness_score	subset_diversity_possible_pairs	subset_diversity_resolved_pairs	subset_diversity_resolved_fraction	subset_diversity_observed_mean	subset_diversity_lower_bound	subset_diversity_upper_bound
20	11	0.677459016405	0.98695652174	0.187837244569	0.334354763272	190	177	0.931578947368	0.312512802688	0.291130347768	0.359551400399
20	5	0.627868852462	0.982608695645	0.235286961978	0.366903465726	190	172	0.905263157895	0.379269547734	0.343338748475	0.43807559058
20	7	0.693852459015	0.986956521735	0.18763949376	0.339317994084	190	187	0.984210526316	0.324222586054	0.319103282063	0.334892755748
20	9	0.67172131148	0.98478260869	0.226746118851	0.357246971243	190	165	0.868421052632	0.353196529778	0.306723302176	0.438302249544
20	9	0.66762295083	0.98695652173	0.236186158738	0.366773265015	190	173	0.910526315789	0.380747893931	0.346680977106	0.436154661316
20	5	0.71270491803	0.99130434782	0.195652453976	0.343079567465	190	182	0.957894736842	0.336846483736	0.322663473894	0.364768737052
20	9	0.650000000012	0.991304347825	0.215886498258	0.34889460451	190	173	0.910526315789	0.343697709195	0.312945808899	0.402419493109
20	8	0.696721311485	0.993478260865	0.218734245956	0.347455920443	190	175	0.921052631579	0.332567375605	0.306312056478	0.385259424899
20	8	0.678278688531	0.989130434785	0.174797007507	0.333542681766	190	185	0.973684210526	0.29907342816	0.291203074787	0.317518864261
20	8	0.698770491807	0.991304347825	0.165268109873	0.323878398885	190	180	0.947368421053	0.281295303342	0.266490287376	0.319121866324
20	9	0.583606557371	0.973913043475	0.239898297563	0.370338184094	190	177	0.931578947368	0.388250149867	0.361685665929	0.430106718561
20	11	0.6631147541	0.986956521735	0.231885923657	0.360735655443	190	169	0.889473684211	0.365372095527	0.324988863916	0.435515179706
20	11	0.662704918025	0.984782608695	0.211387629597	0.350802555059	190	174	0.915789473684	0.347583573692	0.318313378012	0.402523904328
20	9	0.602459016395	0.98260869565	0.211912546434	0.356058985891	190	176	0.926315789474	0.351898373218	0.325969019402	0.399653229929
20	5	0.712704918037	0.989130434775	0.202535276125	0.344209395193	190	188	0.989473684211	0.334522587492	0.331001297097	0.341527612887
20	5	0.743032786895	0.98260869565	0.217035736213	0.35635687681	190	182	0.957894736842	0.357014519267	0.341982328982	0.38408759214
20	11	0.766393442625	0.98913043478	0.211142116331	0.349736379392	190	185	0.973684210526	0.34442899532	0.33536507439	0.361680863864
20	7	0.668852459025	0.986956521735	0.195494738879	0.342554439519	190	186	0.978947368421	0.332242563674	0.325247983386	0.346300614965
20	8	0.75860655737	0.993478260865	0.208036164448	0.345608897238	190	178	0.936842105263	0.337978827804	0.316632796574	0.379790691311
20	10	0.708196721305	0.993478260865	0.170579883118	0.328240138701	190	182	0.957894736842	0.294326225998	0.281933542798	0.324038805956
20	12	0.677459016385	0.98478260869	0.236533981031	0.364878482631	190	175	0.921052631579	0.373589931989	0.34409598999	0.423043358411
20	9	0.69959016394	0.98695652174	0.186876995752	0.336229345073	190	179	0.942105263158	0.310390617866	0.292420634726	0.350315371568
20	7	0.496721311476	0.98478260869	0.243678730997	0.375283782192	190	160	0.842105263158	0.383982719143	0.323353868752	0.481248605594
20	9	0.705327868862	0.989130434775	0.209716271793	0.350952732545	190	170	0.894736842105	0.337968933789	0.302393256548	0.407656414443
20	9	0.662704918035	0.984782608685	0.221893365088	0.36465538827	190	183	0.963157894737	0.372919728521	0.359180580628	0.396022685891
20	8	0.677459016395	0.97391304348	0.241872160211	0.370095601776	190	168	0.884210526316	0.382408826776	0.338129909991	0.453919383676
20	9	0.606557377052	0.97826086956	0.262903543444	0.385711564735	190	165	0.868421052632	0.409496204672	0.35561512511	0.487194072479
20	9	0.731147540995	0.98260869565	0.262413143918	0.385584161483	190	175	0.921052631579	0.407969266134	0.375761166176	0.454708534597
20	9	0.635655737706	0.978260869565	0.239756119703	0.371890794563	190	179	0.942105263158	0.384076152051	0.3618401643	0.419734901142
20	9	0.73647540984	0.991304347825	0.212589004439	0.346130038535	190	172	0.905263157895	0.334623133811	0.302921994819	0.397658836924
20	8	0.624180327875	0.98913043478	0.214339971042	0.352395997619	190	170	0.894736842105	0.347722796759	0.3111203971	0.416383554995
20	11	0.657377049195	0.980434782605	0.222809717993	0.360818897441	190	174	0.915789473684	0.356364970562	0.32635528883	0.410565815146
20	10	0.695901639346	0.98260869565	0.23111555333	0.360717991122	190	172	0.905263157895	0.360458744985	0.326310021776	0.421046863881
20	10	0.69918032787	0.98043478261	0.215823075191	0.353321460523	190	167	0.878947368421	0.348877905731	0.306645317143	0.427697948722
20	10	0.706147540985	0.991304347825	0.201671060984	0.345392821607	190	176	0.926315789474	0.330874599642	0.306494365984	0.380178576511
20	9	0.68893442624	0.98695652174	0.217926482827	0.355969458917	190	183	0.963157894737	0.355731324784	0.342625433871	0.379467539134
20	8	0.731967213125	0.993478260865	0.210587451784	0.35112981474	190	178	0.936842105263	0.347526366058	0.325577332412	0.388735227149
20	7	0.738114754102	0.978260869555	0.216534092168	0.359435821906	190	180	0.947368421053	0.363434664434	0.344306524201	0.396938103148
20	10	0.638114754095	0.98478260869	0.208796123577	0.346191781363	190	169	0.889473684211	0.340660353702	0.303008419872	0.413534735662
20	6	0.649590163937	0.984782608695	0.19663076811	0.343488408324	190	174	0.915789473684	0.326284710912	0.298808103678	0.383018629994
20	11	0.678688524595	0.98913043478	0.241322373134	0.364398582661	190	151	0.794736842105	0.366806815931	0.291514890556	0.49677804845
20	7	0.67049180328	0.991304347825	0.21980794126	0.35481452589	190	170	0.894736842105	0.346412264499	0.309947815604	0.415210973499
20	13	0.660655737721	0.99130434782	0.188267610569	0.33511621655	190	182	0.957894736842	0.315880969387	0.302580718045	0.344685981203
20	9	0.709426229505	0.993478260865	0.201989032143	0.348602260837	190	178	0.936842105263	0.340603406581	0.319091612481	0.382249507218
20	8	0.653688524585	0.982608695645	0.242954984913	0.365994191403	190	163	0.857894736842	0.373015645131	0.320008158717	0.462113421875
20	12	0.647540983609	0.984782608695	0.250885554005	0.381007709982	190	169	0.889473684211	0.395493716868	0.351781253425	0.462307569215
20	11	0.657786885246	0.986956521735	0.203448642538	0.347238113013	190	183	0.963157894737	0.346826241883	0.334048432972	0.370890538235
20	10	0.75450819673	0.98913043478	0.180127388252	0.330120214345	190	183	0.963157894737	0.303124007954	0.291956281345	0.328798386609
20	8	0.67418032787	0.982608695645	0.228221330723	0.362711310389	190	179	0.942105263158	0.371168130562	0.349679449319	0.407574186161
20	5	0.67704918032	0.98695652173	0.212267894974	0.350890741965	190	187	0.984210526316	0.347928875819	0.34243526199	0.358224735674
20	8	0.72581967214	0.991304347825	0.210114864205	0.348804029717	190	175	0.921052631579	0.341374789742	0.314424148446	0.393371516867
20	10	0.731557377045	0.993478260865	0.201695402356	0.34358556902	190	176	0.926315789474	0.330873469159	0.3064933188	0.380177529326
20	9	0.631967213116	0.993478260865	0.197817791749	0.342504538839	190	175	0.921052631579	0.329781807474	0.30374640162	0.382693770041
20	11	0.61680327869	0.980434782605	0.20180766052	0.349361796304	190	176	0.926315789474	0.338019002659	0.313112339305	0.386796549831
20	7	0.699590163935	0.991304347825	0.18098341099	0.335272394222	190	174	0.915789473684	0.306433643965	0.280628705526	0.364839231841
20	11	0.63524590163	0.993478260865	0.20936311424	0.352738234975	190	174	0.915789473684	0.346738608306	0.317539567607	0.401750093923
20	8	0.746311475422	0.982608695645	0.228466233783	0.363635205721	190	177	0.931578947368	0.377220367788	0.35141055315	0.419831605781
20	8	0.73442622952	0.98260869565	0.195608364871	0.345921665796	190	182	0.957894736842	0.333185472567	0.319156610564	0.361261873722
20	7	0.71721311476	0.98913043478	0.223858712559	0.360504653525	190	183	0.963157894737	0.360627756339	0.347341470579	0.384183575842
20	9	0.7405737705	0.982608695645	0.199241143719	0.343424368816	190	171	0.9	0.328286604426	0.295457943984	0.395457943984
20	7	0.765573770495	0.98260869565	0.229628367956	0.363244514674	190	184	0.968421052632	0.371771979396	0.360031811625	0.391610758994
20	10	0.70000000001	0.991304347825	0.172723800153	0.327408660692	190	176	0.926315789474	0.291759307291	0.27026125307	0.343945463596
20	7	0.61721311475	0.98913043478	0.206344673702	0.348146446439	190	175	0.921052631579	0.341690237904	0.314714692806	0.393662061227
20	8	0.639754098364	0.98260869565	0.237254743072	0.36965149304	190	165	0.868421052632	0.377086402529	0.327469770617	0.459048717986
20	8	0.72909836066	0.99130434782	0.188116562626	0.336213161734	190	182	0.957894736842	0.317690622964	0.304314175682	0.34641943884
