selection_rank	sequence_id	sequence_sha256	terminated_by_eos	hit_generation_cap	stop_reason	raw_token_length	length	standard_aa_only	duplicate_candidate	generation_cap_warning	low_complexity_warning	composition_outlier_checked	composition_js_divergence	composition_js_threshold	composition_outlier_warning	training_match_checked	exact_training_match	training_match_ids	reference_match_checked	exact_reference_match	reference_match_ids	hydrophobic_checked	hydrophobic_warning	hydrophobic_segments	homopolymer_checked	homopolymer_warning	homopolymer_segments	tandem_repeat_checked	tandem_repeat_warning	tandem_repeat_segments	qc_pass	qc_reasons	qc_warnings	qc_failures	pool	family_status	pf00741_status	global_query_length	global_closest_reference_id	global_closest_reference_ids	global_closest_reference_tie_count	global_target_length	global_alignment_score	global_alignment_length	global_aligned_pairs	global_identical_residues	global_identity	global_query_coverage	global_target_coverage	global_effective_identity	global_distance	global_distance_status	global_distance_reason	global_reference_count	global_resolved_reference_count	manual_review	domain_review_status	domain_warning_reasons	pf00741_hit_segments	non_target_hit_count	domain_architecture	tm_review_status	tm_segment_count	tm_segments_1based_inclusive	c_review_reasons	c_manual_review	domain_status	domain_score	domain_evalue	sequence_evalue	sequence_score	model_coverage	domain_pass	constraint_score	hmm_from	hmm_to	alignment_from	alignment_to	conserved_sites_total	conserved_sites_covered	conserved_sites_matched	conservation_coverage	conservation_score	closest_reference_id	closest_reference_pident	closest_reference_effective_identity	closest_reference_query_coverage	closest_reference_target_coverage	closest_reference_evalue	nearest_candidate_id	nearest_candidate_identity	nearest_candidate_distance	domain_evaluated	novelty_score	uniqueness_score	generator_type	model_checkpoint	checkpoint_sha256	reference_release_id	split_manifest_sha256	vocabulary_sha256	generation_seed	sample_index	temperature	top_k	top_p	latent_id	sequence_length	uniqueness_resolved_fraction	uniqueness_lower_bound	uniqueness_upper_bound	uniqueness_reference_pool_size	score_ready	score_exclusion_reason	selected_by_metric	source_metric_rank
1	vae_candidate_000959	9a6b2f7820c9b2b42f6e092ce5b18ce523f5c6ebaf4c2c333e98cccbe650dd89	True	False	eos	109	108	True	False	False	False	True	0.0224788143961	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	108	nat_0101bc590c89813c161a	"[""nat_0101bc590c89813c161a"", ""nat_1f956fdbc151f2ec0ffb"", ""nat_3e6bf91c590be6684eed"", ""nat_4482775e0979509e45d2"", ""nat_4b58b860e36e01bdb682"", ""nat_6681febe116459c77b18"", ""nat_82e4660fb87f57daff30"", ""nat_92d7d81f95603487cd9c"", ""nat_94cdaea6b1db7bfe983f"", ""nat_acb38079c01f07d0de6f"", ""nat_bf00fc1bb4a6bea076a5"", ""nat_c468502803b4ab5981f1""]"	12	94	280	109	93	66	0.709677419355	0.861111111111	0.989361702128	0.611111111111	0.388888888889	resolved		346	137	True	no_extra_domain_evidence		1	0	PF00741:12-50	no_extra_tm_evidence	0		base:manual_review	True	detected	62.3	2.7e-19	2.7e-19	62.3	1	True	1	1	39	12	50	23	23	22	1	0.9565217391	nat_4b58b860e36e01bdb682	0.61111	0.61111	1	1	4.13e-34	vae_candidate_000020	0.6018566667	0.3981433333	True	0.388888888889	0.465818454355	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	958	1	0	1	958	108	0.77037037037	0.358852735207	0.588482364836	136	True		constraint_score	1
2	vae_candidate_000001	b784a46b5b0d83f040d354c75bfaf51fb9a8bf2db443f24804d892d6db103acc	True	False	eos	85	84	True	False	False	False	True	0.017018031926	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	84	nat_d4ba65189ba86a477cc5	"[""nat_d4ba65189ba86a477cc5""]"	1	92	308	94	82	72	0.878048780488	0.97619047619	0.891304347826	0.782608695652	0.217391304348	resolved		346	219	False	no_extra_domain_evidence		1	0	PF00741:12-50	no_extra_tm_evidence	0			False	detected	60.3	1.2e-18	7.8e-19	60.9	1	True	0.9836065574	1	39	12	50	23	23	23	1	1	nat_c8490949e18e771ed8c8	0.81818	0.7659557447	1	0.9361702128	2.35e-44	vae_candidate_000857	0.7717372826	0.2282627174	True	0.217391304348	0.326581450718	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	0	1	0	1	0	84	0.762962962963	0.249169551289	0.486206588326	136	True		conservation_score	1
3	vae_candidate_000061	7b84e79a3a0beb5d80b0281069867504089a5c213346fc6895b86d1fe4a40d2c	True	False	eos	111	110	True	False	False	False	True	0.032939625815	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	110	nat_7ee1d64f80049d71603c	"[""nat_7ee1d64f80049d71603c""]"	1	95	141	113	92	46	0.5	0.836363636364	0.968421052632	0.418181818182	0.581818181818	resolved		346	118	False	no_extra_domain_evidence		1	0	PF00741:19-57	no_extra_tm_evidence	0			False	detected	46.4	2.7e-14	1.7e-14	47	1	True	0.2786885246	1	39	19	57	23	23	20	1	0.8695652174	nat_8bfb3056e00dc3525ee8	0.66667	0.4413815172	0.8727272727	0.6620689655	1.12e-36	vae_candidate_000894	0.4460418705	0.5539581295	True	0.581818181818	0.624763575354	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	60	1	0	1	60	110	0.674074074074	0.421136928572	0.747062854498	136	True		novelty_score	1
4	vae_candidate_000523	3158f66c154301ebe5be9b4a5c3a7b6de919ce16be2b498c1ff5a2729d247600	True	False	eos	110	109	True	False	False	False	True	0.0260899278071	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	109	nat_69442765a7e1224b0435	"[""nat_69442765a7e1224b0435""]"	1	96	217.5	117	88	61	0.693181818182	0.807339449541	0.916666666667	0.559633027523	0.440366972477	resolved		346	115	False	no_extra_domain_evidence		1	0	PF00741:28-65	no_extra_tm_evidence	0			False	detected	43.1	2.8e-13	2e-13	43.6	1	True	0.131147541	1	39	28	65	23	23	23	1	1	nat_7ee1d64f80049d71603c	0.57143	0.5137627523	0.8990825688	1	3.47e-28	vae_candidate_000247	0.5137627523	0.4862372477	True	0.440366972477	0.50848145927	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	522	1	0	1	522	109	0.57037037037	0.29002275825	0.71965238788	136	True		uniqueness_score	2
5	vae_candidate_000293	e378e39a5f14218d620501146ccf0022981178fa3ff20a042b5b8a40da2da235	True	False	eos	94	93	True	False	False	False	True	0.0220462927997	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	93	nat_004ac783975534947324	"[""nat_004ac783975534947324""]"	1	94	260.5	103	84	62	0.738095238095	0.903225806452	0.893617021277	0.659574468085	0.340425531915	resolved		346	170	False	no_extra_domain_evidence		1	0	PF00741:12-50	no_extra_tm_evidence	0			False	detected	60.9	7.5e-19	5.9e-19	61.2	1	True	0.9918032787	1	39	12	50	23	23	23	1	1	nat_004ac783975534947324	0.62245	0.648937234	1	1	9.97e-34	vae_candidate_000536	0.6559143011	0.3440856989	True	0.340425531915	0.442429243082	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	292	1	0	1	292	93	0.814814814815	0.36049790177	0.545683086956	136	True		constraint_score	2
6	vae_candidate_000018	9903c0f8a58dfda520537020603f08a1e3bc0841c86ce6cda9c792ef6b8aecc3	True	False	eos	99	98	True	False	False	False	True	0.0383010979288	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	98	nat_0145b7d0415b25474bf7	"[""nat_0145b7d0415b25474bf7"", ""nat_168a7720be25950ce7a5"", ""nat_3e6bf91c590be6684eed"", ""nat_4f76b230eb60279eb5dd"", ""nat_9ca97034ea4d97950343"", ""nat_a9c10692b45d32f772b4"", ""nat_acb38079c01f07d0de6f"", ""nat_bf5abb4d953e0d6aaa1f"", ""nat_c0d8f1302fa41452efbc"", ""nat_c468502803b4ab5981f1"", ""nat_d5d6f3cedb33fb3328b6"", ""nat_dbd11e06d90ad48401af""]"	12	95	258	103	90	62	0.688888888889	0.918367346939	0.947368421053	0.632653061224	0.367346938776	resolved		346	159	True	no_extra_domain_evidence		1	0	PF00741:12-52	no_extra_tm_evidence	0		base:manual_review	True	detected	48.9	4.2e-15	2.2e-15	49.8	1	True	0.3606557377	1	39	12	52	23	23	23	1	1	nat_67dd37821af98e87666e	0.60396	0.6224485714	1	1	2.19e-33	vae_candidate_000913	0.6326530612	0.3673469388	True	0.367346938776	0.447036214628	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	17	1	0	1	17	98	0.8	0.357628971703	0.557628971703	136	True		conservation_score	2
7	vae_candidate_000818	debca2dcd2b74396a3a0f99a719ae2a6dcc6278892e8bcabc20f413c56131852	True	False	eos	95	94	True	False	False	False	True	0.0204132503008	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	94	nat_144165ea4d3ea8a64b2e	"[""nat_144165ea4d3ea8a64b2e""]"	1	95	227	112	77	55	0.714285714286	0.81914893617	0.810526315789	0.578947368421	0.421052631579	resolved		346	94	False	no_extra_domain_evidence		1	0	PF00741:29-67	no_extra_tm_evidence	0			False	detected	46.2	3e-14	2.1e-14	46.7	0.9743589744	True	0.2786885246	2	39	30	67	23	23	23	1	1	nat_fb877ea45a36f28c6227	0.72464	0.5319165957	0.7340425532	0.7931034483	3.48e-32	vae_candidate_000965	0.5851058511	0.4148941489	True	0.421052631579	0.471714206591	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	817	1	0	1	817	94	0.525925925926	0.248086730874	0.722160804948	136	True		novelty_score	3
8	vae_candidate_000216	cd36da61568351d7dae4ff015b53605891c6ede0708f230bdd74440585dab482	True	False	eos	101	100	True	False	False	False	True	0.038444292474	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	100	nat_168a7720be25950ce7a5	"[""nat_168a7720be25950ce7a5"", ""nat_1eda5f35014077cd8e25"", ""nat_1f7ab0dfc808b4ef03c3"", ""nat_9ca97034ea4d97950343"", ""nat_a49cfe7d33cec22c3905"", ""nat_c8490949e18e771ed8c8"", ""nat_ccd25408209dd226eaf9""]"	7	94	236	105	89	58	0.651685393258	0.89	0.946808510638	0.58	0.42	resolved		346	155	True	no_extra_domain_evidence		1	0	PF00741:13-51	no_extra_tm_evidence	0		base:manual_review	True	detected	52.4	3.3e-16	2.5e-16	52.8	1	True	0.4918032787	1	39	13	51	23	23	21	1	0.9130434783	nat_2257aec2c4abeff42ec4	0.62366	0.5800038	0.93	0.9587628866	4.34e-32	vae_candidate_000536	0.5599969	0.4400031	True	0.42	0.483634004626	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	215	1	0	1	215	100	0.814814814815	0.394072151917	0.579257337102	136	True		uniqueness_score	3
9	vae_candidate_000652	8398475e250133c7c12cf15ec3507718435f4a57d6a7f1c5e00bce374b55eea5	True	False	eos	85	84	True	False	False	False	True	0.0213560516655	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	84	nat_4d627ec7ce40cceb1d25	"[""nat_4d627ec7ce40cceb1d25""]"	1	78	240	85	77	58	0.753246753247	0.916666666667	0.987179487179	0.690476190476	0.309523809524	resolved		346	219	False	no_extra_domain_evidence		1	0	PF00741:11-49	no_extra_tm_evidence	0			False	detected	60.9	7.7e-19	5.9e-19	61.2	1	True	0.9918032787	1	39	11	49	23	23	23	1	1	nat_8f5ca23cd23d0262e12b	0.74667	0.6666696429	0.8928571429	0.9868421053	9.33e-35	vae_candidate_000876	0.6547602381	0.3452397619	True	0.309523809524	0.393835631502	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	651	1	0	1	651	84	0.740740740741	0.291730097409	0.550989356668	136	True		constraint_score	3
10	vae_candidate_000020	ae8c524e0e385be95a4a7dd5c033ce06143a99f3991eb736fd2152038c13221e	True	False	eos	108	107	True	False	False	False	True	0.0192509503907	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	107	nat_d80e058d93177215aa4b	"[""nat_d80e058d93177215aa4b""]"	1	95	376.5	109	93	88	0.94623655914	0.869158878505	0.978947368421	0.822429906542	0.177570093458	resolved		346	142	False	no_extra_domain_evidence		1	0	PF00741:12-54	no_extra_tm_evidence	0			False	detected	45.9	3.8e-14	6e-16	51.6	1	True	0.2786885246	1	39	12	54	23	23	23	1	1	nat_acb38079c01f07d0de6f	0.80189	0.7943957009	0.9906542056	1	2.96e-44	vae_candidate_000967	0.8037375701	0.1962624299	True	0.177570093458	0.338296160573	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	19	1	0	1	19	107	0.792592592593	0.268131030972	0.47553843838	136	True		conservation_score	3
