selection_rank	sequence_id	sequence_sha256	terminated_by_eos	hit_generation_cap	stop_reason	raw_token_length	length	standard_aa_only	duplicate_candidate	generation_cap_warning	low_complexity_warning	composition_outlier_checked	composition_js_divergence	composition_js_threshold	composition_outlier_warning	training_match_checked	exact_training_match	training_match_ids	reference_match_checked	exact_reference_match	reference_match_ids	hydrophobic_checked	hydrophobic_warning	hydrophobic_segments	homopolymer_checked	homopolymer_warning	homopolymer_segments	tandem_repeat_checked	tandem_repeat_warning	tandem_repeat_segments	qc_pass	qc_reasons	qc_warnings	qc_failures	pool	family_status	pf00741_status	global_query_length	global_closest_reference_id	global_closest_reference_ids	global_closest_reference_tie_count	global_target_length	global_alignment_score	global_alignment_length	global_aligned_pairs	global_identical_residues	global_identity	global_query_coverage	global_target_coverage	global_effective_identity	global_distance	global_distance_status	global_distance_reason	global_reference_count	global_resolved_reference_count	manual_review	domain_review_status	domain_warning_reasons	pf00741_hit_segments	non_target_hit_count	domain_architecture	tm_review_status	tm_segment_count	tm_segments_1based_inclusive	c_review_reasons	c_manual_review	domain_status	domain_score	domain_evalue	sequence_evalue	sequence_score	model_coverage	domain_pass	constraint_score	hmm_from	hmm_to	alignment_from	alignment_to	conserved_sites_total	conserved_sites_covered	conserved_sites_matched	conservation_coverage	conservation_score	closest_reference_id	closest_reference_pident	closest_reference_effective_identity	closest_reference_query_coverage	closest_reference_target_coverage	closest_reference_evalue	nearest_candidate_id	nearest_candidate_identity	nearest_candidate_distance	domain_evaluated	novelty_score	uniqueness_score	generator_type	model_checkpoint	checkpoint_sha256	reference_release_id	split_manifest_sha256	vocabulary_sha256	generation_seed	sample_index	temperature	top_k	top_p	latent_id	sequence_length	uniqueness_resolved_fraction	uniqueness_lower_bound	uniqueness_upper_bound	uniqueness_reference_pool_size	score_ready	score_exclusion_reason	pareto_rank	crowding_distance
1	vae_candidate_000061	7b84e79a3a0beb5d80b0281069867504089a5c213346fc6895b86d1fe4a40d2c	True	False	eos	111	110	True	False	False	False	True	0.032939625815	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	110	nat_7ee1d64f80049d71603c	"[""nat_7ee1d64f80049d71603c""]"	1	95	141	113	92	46	0.5	0.836363636364	0.968421052632	0.418181818182	0.581818181818	resolved		346	118	False	no_extra_domain_evidence		1	0	PF00741:19-57	no_extra_tm_evidence	0			False	detected	46.4	2.7e-14	1.7e-14	47	1	True	0.2786885246	1	39	19	57	23	23	20	1	0.8695652174	nat_8bfb3056e00dc3525ee8	0.66667	0.4413815172	0.8727272727	0.6620689655	1.12e-36	vae_candidate_000894	0.4460418705	0.5539581295	True	0.581818181818	0.624763575354	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	60	1	0	1	60	110	0.674074074074	0.421136928572	0.747062854498	136	True		0	inf
2	vae_candidate_000293	e378e39a5f14218d620501146ccf0022981178fa3ff20a042b5b8a40da2da235	True	False	eos	94	93	True	False	False	False	True	0.0220462927997	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	93	nat_004ac783975534947324	"[""nat_004ac783975534947324""]"	1	94	260.5	103	84	62	0.738095238095	0.903225806452	0.893617021277	0.659574468085	0.340425531915	resolved		346	170	False	no_extra_domain_evidence		1	0	PF00741:12-50	no_extra_tm_evidence	0			False	detected	60.9	7.5e-19	5.9e-19	61.2	1	True	0.9918032787	1	39	12	50	23	23	23	1	1	nat_004ac783975534947324	0.62245	0.648937234	1	1	9.97e-34	vae_candidate_000536	0.6559143011	0.3440856989	True	0.340425531915	0.442429243082	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	292	1	0	1	292	93	0.814814814815	0.36049790177	0.545683086956	136	True		0	inf
3	vae_candidate_000523	3158f66c154301ebe5be9b4a5c3a7b6de919ce16be2b498c1ff5a2729d247600	True	False	eos	110	109	True	False	False	False	True	0.0260899278071	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	109	nat_69442765a7e1224b0435	"[""nat_69442765a7e1224b0435""]"	1	96	217.5	117	88	61	0.693181818182	0.807339449541	0.916666666667	0.559633027523	0.440366972477	resolved		346	115	False	no_extra_domain_evidence		1	0	PF00741:28-65	no_extra_tm_evidence	0			False	detected	43.1	2.8e-13	2e-13	43.6	1	True	0.131147541	1	39	28	65	23	23	23	1	1	nat_7ee1d64f80049d71603c	0.57143	0.5137627523	0.8990825688	1	3.47e-28	vae_candidate_000247	0.5137627523	0.4862372477	True	0.440366972477	0.50848145927	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	522	1	0	1	522	109	0.57037037037	0.29002275825	0.71965238788	136	True		0	inf
4	vae_candidate_000818	debca2dcd2b74396a3a0f99a719ae2a6dcc6278892e8bcabc20f413c56131852	True	False	eos	95	94	True	False	False	False	True	0.0204132503008	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	94	nat_144165ea4d3ea8a64b2e	"[""nat_144165ea4d3ea8a64b2e""]"	1	95	227	112	77	55	0.714285714286	0.81914893617	0.810526315789	0.578947368421	0.421052631579	resolved		346	94	False	no_extra_domain_evidence		1	0	PF00741:29-67	no_extra_tm_evidence	0			False	detected	46.2	3e-14	2.1e-14	46.7	0.9743589744	True	0.2786885246	2	39	30	67	23	23	23	1	1	nat_fb877ea45a36f28c6227	0.72464	0.5319165957	0.7340425532	0.7931034483	3.48e-32	vae_candidate_000965	0.5851058511	0.4148941489	True	0.421052631579	0.471714206591	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	817	1	0	1	817	94	0.525925925926	0.248086730874	0.722160804948	136	True		0	inf
5	vae_candidate_000959	9a6b2f7820c9b2b42f6e092ce5b18ce523f5c6ebaf4c2c333e98cccbe650dd89	True	False	eos	109	108	True	False	False	False	True	0.0224788143961	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	108	nat_0101bc590c89813c161a	"[""nat_0101bc590c89813c161a"", ""nat_1f956fdbc151f2ec0ffb"", ""nat_3e6bf91c590be6684eed"", ""nat_4482775e0979509e45d2"", ""nat_4b58b860e36e01bdb682"", ""nat_6681febe116459c77b18"", ""nat_82e4660fb87f57daff30"", ""nat_92d7d81f95603487cd9c"", ""nat_94cdaea6b1db7bfe983f"", ""nat_acb38079c01f07d0de6f"", ""nat_bf00fc1bb4a6bea076a5"", ""nat_c468502803b4ab5981f1""]"	12	94	280	109	93	66	0.709677419355	0.861111111111	0.989361702128	0.611111111111	0.388888888889	resolved		346	137	True	no_extra_domain_evidence		1	0	PF00741:12-50	no_extra_tm_evidence	0		base:manual_review	True	detected	62.3	2.7e-19	2.7e-19	62.3	1	True	1	1	39	12	50	23	23	22	1	0.9565217391	nat_4b58b860e36e01bdb682	0.61111	0.61111	1	1	4.13e-34	vae_candidate_000020	0.6018566667	0.3981433333	True	0.388888888889	0.465818454355	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	958	1	0	1	958	108	0.77037037037	0.358852735207	0.588482364836	136	True		0	inf
6	vae_candidate_000216	cd36da61568351d7dae4ff015b53605891c6ede0708f230bdd74440585dab482	True	False	eos	101	100	True	False	False	False	True	0.038444292474	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	100	nat_168a7720be25950ce7a5	"[""nat_168a7720be25950ce7a5"", ""nat_1eda5f35014077cd8e25"", ""nat_1f7ab0dfc808b4ef03c3"", ""nat_9ca97034ea4d97950343"", ""nat_a49cfe7d33cec22c3905"", ""nat_c8490949e18e771ed8c8"", ""nat_ccd25408209dd226eaf9""]"	7	94	236	105	89	58	0.651685393258	0.89	0.946808510638	0.58	0.42	resolved		346	155	True	no_extra_domain_evidence		1	0	PF00741:13-51	no_extra_tm_evidence	0		base:manual_review	True	detected	52.4	3.3e-16	2.5e-16	52.8	1	True	0.4918032787	1	39	13	51	23	23	21	1	0.9130434783	nat_2257aec2c4abeff42ec4	0.62366	0.5800038	0.93	0.9587628866	4.34e-32	vae_candidate_000536	0.5599969	0.4400031	True	0.42	0.483634004626	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	215	1	0	1	215	100	0.814814814815	0.394072151917	0.579257337102	136	True		0	1.15527765676
7	vae_candidate_000588	dd111bef68824755ae99208d23b1c9cbb41ad5e7507b9d44ed02105bbbd638f8	True	False	eos	100	99	True	False	False	False	True	0.0416771849823	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	99	nat_fca422d4ddd5dcd65605	"[""nat_fca422d4ddd5dcd65605""]"	1	96	256.5	103	92	64	0.695652173913	0.929292929293	0.958333333333	0.646464646465	0.353535353535	resolved		346	158	False	no_extra_domain_evidence		1	0	PF00741:18-56	no_extra_tm_evidence	0			False	detected	53.2	1.9e-16	1.3e-16	53.7	0.9743589744	True	0.5163934426	2	39	19	56	23	23	20	1	0.8695652174	nat_fca422d4ddd5dcd65605	0.67059	0.5757590909	0.8585858586	0.8854166667	1.6e-28	vae_candidate_000772	0.6262585859	0.3737414141	True	0.353535353535	0.476368138669	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	587	1	0	1	587	99	0.822222222222	0.391680469572	0.56945824735	136	True		0	0.896383561451
8	vae_candidate_000108	e6c8dd1dcfd49d1e8268f1e107dc3f61a79715c67dbd8d08887b18b4b96f5e44	True	False	eos	109	108	True	False	False	False	True	0.015027906164	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	108	nat_4f76b230eb60279eb5dd	"[""nat_4f76b230eb60279eb5dd""]"	1	95	260.5	111	92	67	0.728260869565	0.851851851852	0.968421052632	0.62037037037	0.37962962963	resolved		346	125	False	no_extra_domain_evidence		1	0	PF00741:13-49	no_extra_tm_evidence	0			False	detected	49.3	3.1e-15	1.8e-15	50.1	1	True	0.3606557377	1	39	13	49	23	23	23	1	1	nat_004ac783975534947324	0.61538	0.5925881481	0.962962963	1	1.72e-31	vae_candidate_000293	0.5833359259	0.4166640741	True	0.37962962963	0.46561152698	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	107	1	0	1	107	108	0.718518518519	0.334550504571	0.616031986052	136	True		0	0.668895254722
9	vae_candidate_000633	afb6b4748aad8a36281584e1dad95ba42f4a7fbe947fb58621fcf54996be2c86	True	False	eos	100	99	True	False	False	False	True	0.0115414733066	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	99	nat_9fda348180c612303cdb	"[""nat_9fda348180c612303cdb""]"	1	95	239.5	108	86	62	0.720930232558	0.868686868687	0.905263157895	0.626262626263	0.373737373737	resolved		346	157	False	no_extra_domain_evidence		1	0	PF00741:9-47	no_extra_tm_evidence	0			False	detected	58.5	4.1e-18	3.2e-18	58.9	1	True	0.8524590164	1	39	9	47	23	23	23	1	1	nat_4f76b230eb60279eb5dd	0.61053	0.5858621212	0.9595959596	1	1.25e-30	vae_candidate_000364	0.6666690909	0.3333309091	True	0.373737373737	0.46080210717	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	632	1	0	1	632	99	0.822222222222	0.378881732562	0.55665951034	136	True		0	0.575390645172
10	vae_candidate_000212	340f0b30a79ea7c80ad6e23aa5a4862203f7f9d162fe01c34f064ca5c2c4a1f4	True	False	eos	112	111	True	False	False	False	True	0.0221119084286	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	111	nat_dad443e0412ef646de5e	"[""nat_dad443e0412ef646de5e""]"	1	95	289.5	115	91	71	0.78021978022	0.81981981982	0.957894736842	0.63963963964	0.36036036036	resolved		346	95	False	no_extra_domain_evidence		1	0	PF00741:12-50	no_extra_tm_evidence	0			False	detected	58.6	3.9e-18	2.9e-18	59	1	True	0.8606557377	1	39	12	50	23	23	23	1	1	nat_78005b3dddedd0251b7e	0.62963	0.612612973	0.972972973	1	3.09e-37	vae_candidate_000715	0.6306312613	0.3693687387	True	0.36036036036	0.447498651083	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	211	1	0	1	211	111	0.540740740741	0.241980752067	0.701240011326	136	True		0	0.344831516074
