selection_rank	sequence_id	sequence_sha256	terminated_by_eos	hit_generation_cap	stop_reason	raw_token_length	length	standard_aa_only	duplicate_candidate	generation_cap_warning	low_complexity_warning	composition_outlier_checked	composition_js_divergence	composition_js_threshold	composition_outlier_warning	training_match_checked	exact_training_match	training_match_ids	reference_match_checked	exact_reference_match	reference_match_ids	hydrophobic_checked	hydrophobic_warning	hydrophobic_segments	homopolymer_checked	homopolymer_warning	homopolymer_segments	tandem_repeat_checked	tandem_repeat_warning	tandem_repeat_segments	qc_pass	qc_reasons	qc_warnings	qc_failures	pool	family_status	pf00741_status	global_query_length	global_closest_reference_id	global_closest_reference_ids	global_closest_reference_tie_count	global_target_length	global_alignment_score	global_alignment_length	global_aligned_pairs	global_identical_residues	global_identity	global_query_coverage	global_target_coverage	global_effective_identity	global_distance	global_distance_status	global_distance_reason	global_reference_count	global_resolved_reference_count	manual_review	domain_review_status	domain_warning_reasons	pf00741_hit_segments	non_target_hit_count	domain_architecture	tm_review_status	tm_segment_count	tm_segments_1based_inclusive	c_review_reasons	c_manual_review	domain_status	domain_score	domain_evalue	sequence_evalue	sequence_score	model_coverage	domain_pass	constraint_score	hmm_from	hmm_to	alignment_from	alignment_to	conserved_sites_total	conserved_sites_covered	conserved_sites_matched	conservation_coverage	conservation_score	closest_reference_id	closest_reference_pident	closest_reference_effective_identity	closest_reference_query_coverage	closest_reference_target_coverage	closest_reference_evalue	nearest_candidate_id	nearest_candidate_identity	nearest_candidate_distance	domain_evaluated	novelty_score	uniqueness_score	generator_type	model_checkpoint	checkpoint_sha256	reference_release_id	split_manifest_sha256	vocabulary_sha256	generation_seed	sample_index	temperature	top_k	top_p	latent_id	sequence_length	uniqueness_resolved_fraction	uniqueness_lower_bound	uniqueness_upper_bound	uniqueness_reference_pool_size	score_ready	score_exclusion_reason	aggregate_score
1	vae_candidate_000959	9a6b2f7820c9b2b42f6e092ce5b18ce523f5c6ebaf4c2c333e98cccbe650dd89	True	False	eos	109	108	True	False	False	False	True	0.0224788143961	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	108	nat_0101bc590c89813c161a	"[""nat_0101bc590c89813c161a"", ""nat_1f956fdbc151f2ec0ffb"", ""nat_3e6bf91c590be6684eed"", ""nat_4482775e0979509e45d2"", ""nat_4b58b860e36e01bdb682"", ""nat_6681febe116459c77b18"", ""nat_82e4660fb87f57daff30"", ""nat_92d7d81f95603487cd9c"", ""nat_94cdaea6b1db7bfe983f"", ""nat_acb38079c01f07d0de6f"", ""nat_bf00fc1bb4a6bea076a5"", ""nat_c468502803b4ab5981f1""]"	12	94	280	109	93	66	0.709677419355	0.861111111111	0.989361702128	0.611111111111	0.388888888889	resolved		346	137	True	no_extra_domain_evidence		1	0	PF00741:12-50	no_extra_tm_evidence	0		base:manual_review	True	detected	62.3	2.7e-19	2.7e-19	62.3	1	True	1	1	39	12	50	23	23	22	1	0.9565217391	nat_4b58b860e36e01bdb682	0.61111	0.61111	1	1	4.13e-34	vae_candidate_000020	0.6018566667	0.3981433333	True	0.388888888889	0.465818454355	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	958	1	0	1	958	108	0.77037037037	0.358852735207	0.588482364836	136	True		0.702807270586
2	vae_candidate_000293	e378e39a5f14218d620501146ccf0022981178fa3ff20a042b5b8a40da2da235	True	False	eos	94	93	True	False	False	False	True	0.0220462927997	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	93	nat_004ac783975534947324	"[""nat_004ac783975534947324""]"	1	94	260.5	103	84	62	0.738095238095	0.903225806452	0.893617021277	0.659574468085	0.340425531915	resolved		346	170	False	no_extra_domain_evidence		1	0	PF00741:12-50	no_extra_tm_evidence	0			False	detected	60.9	7.5e-19	5.9e-19	61.2	1	True	0.9918032787	1	39	12	50	23	23	23	1	1	nat_004ac783975534947324	0.62245	0.648937234	1	1	9.97e-34	vae_candidate_000536	0.6559143011	0.3440856989	True	0.340425531915	0.442429243082	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	292	1	0	1	292	93	0.814814814815	0.36049790177	0.545683086956	136	True		0.693664513424
3	vae_candidate_000439	96c8ae4af2189ce43a7bdc8694d74a4fdeaff898b7d8873be5eab2fdb415427a	True	False	eos	88	87	True	False	False	False	True	0.0281316660542	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	87	nat_75679c0d4db585656573	"[""nat_75679c0d4db585656573"", ""nat_d4ba65189ba86a477cc5"", ""nat_ee10b37a92559cba1989""]"	3	92	275	99	80	61	0.7625	0.919540229885	0.869565217391	0.663043478261	0.336956521739	resolved		346	209	True	no_extra_domain_evidence		1	0	PF00741:13-51	no_extra_tm_evidence	0		base:manual_review	True	detected	60.1	1.3e-18	9e-19	60.7	1	True	0.9836065574	1	39	13	51	23	23	23	1	1	nat_75679c0d4db585656573	0.65591	0.6630394565	1	1	8.4e-38	vae_candidate_000591	0.63636	0.36364	True	0.336956521739	0.407059844678	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	438	1	0	1	438	87	0.762962962963	0.310571585199	0.547608622236	136	True		0.681905730954
4	vae_candidate_000652	8398475e250133c7c12cf15ec3507718435f4a57d6a7f1c5e00bce374b55eea5	True	False	eos	85	84	True	False	False	False	True	0.0213560516655	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	84	nat_4d627ec7ce40cceb1d25	"[""nat_4d627ec7ce40cceb1d25""]"	1	78	240	85	77	58	0.753246753247	0.916666666667	0.987179487179	0.690476190476	0.309523809524	resolved		346	219	False	no_extra_domain_evidence		1	0	PF00741:11-49	no_extra_tm_evidence	0			False	detected	60.9	7.7e-19	5.9e-19	61.2	1	True	0.9918032787	1	39	11	49	23	23	23	1	1	nat_8f5ca23cd23d0262e12b	0.74667	0.6666696429	0.8928571429	0.9868421053	9.33e-35	vae_candidate_000876	0.6547602381	0.3452397619	True	0.309523809524	0.393835631502	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	651	1	0	1	651	84	0.740740740741	0.291730097409	0.550989356668	136	True		0.673790679931
5	vae_candidate_000388	369e72b6f2a82cec10727c9e67fa5ddc6cf8b37b86623a956a4ea7317d199629	True	False	eos	105	104	True	False	False	False	True	0.0321599483704	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	104	nat_67dd37821af98e87666e	"[""nat_67dd37821af98e87666e""]"	1	96	293	107	93	73	0.784946236559	0.894230769231	0.96875	0.701923076923	0.298076923077	resolved		346	149	False	no_extra_domain_evidence		1	0	PF00741:10-48	no_extra_tm_evidence	0			False	detected	59.6	1.9e-18	1.9e-18	59.6	1	True	0.9590163934	1	39	10	48	23	23	23	1	1	nat_67dd37821af98e87666e	0.70588	0.6923053846	0.9807692308	1	2.11e-38	vae_candidate_000399	0.65384875	0.34615125	True	0.298076923077	0.431961594603	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	387	1	0	1	387	104	0.814814814815	0.351968706714	0.537153891899	136	True		0.67226372777
6	vae_candidate_000633	afb6b4748aad8a36281584e1dad95ba42f4a7fbe947fb58621fcf54996be2c86	True	False	eos	100	99	True	False	False	False	True	0.0115414733066	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	99	nat_9fda348180c612303cdb	"[""nat_9fda348180c612303cdb""]"	1	95	239.5	108	86	62	0.720930232558	0.868686868687	0.905263157895	0.626262626263	0.373737373737	resolved		346	157	False	no_extra_domain_evidence		1	0	PF00741:9-47	no_extra_tm_evidence	0			False	detected	58.5	4.1e-18	3.2e-18	58.9	1	True	0.8524590164	1	39	9	47	23	23	23	1	1	nat_4f76b230eb60279eb5dd	0.61053	0.5858621212	0.9595959596	1	1.25e-30	vae_candidate_000364	0.6666690909	0.3333309091	True	0.373737373737	0.46080210717	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	632	1	0	1	632	99	0.822222222222	0.378881732562	0.55665951034	136	True		0.671749624327
7	vae_candidate_000666	d00ef087190b31c0e2913c6b659c39df42c2782f19d50215427a54feb91abe3b	True	False	eos	100	99	True	False	False	False	True	0.0288141454137	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	99	nat_7d45d6cf3df5d3d36985	"[""nat_7d45d6cf3df5d3d36985""]"	1	95	289	104	90	68	0.755555555556	0.909090909091	0.947368421053	0.686868686869	0.313131313131	resolved		346	158	False	no_extra_domain_evidence		1	0	PF00741:12-50	no_extra_tm_evidence	0			False	detected	59.6	2e-18	1.6e-18	59.9	1	True	0.9590163934	1	39	12	50	23	23	23	1	1	nat_4cea385a8794a0b112c3	0.71429	0.656569596	0.9191919192	0.9680851064	5.42e-39	vae_candidate_000635	0.696969697	0.303030303	True	0.313131313131	0.408006361769	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	665	1	0	1	665	99	0.888888888889	0.362672321572	0.473783432683	136	True		0.670038517075
8	vae_candidate_000212	340f0b30a79ea7c80ad6e23aa5a4862203f7f9d162fe01c34f064ca5c2c4a1f4	True	False	eos	112	111	True	False	False	False	True	0.0221119084286	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	111	nat_dad443e0412ef646de5e	"[""nat_dad443e0412ef646de5e""]"	1	95	289.5	115	91	71	0.78021978022	0.81981981982	0.957894736842	0.63963963964	0.36036036036	resolved		346	95	False	no_extra_domain_evidence		1	0	PF00741:12-50	no_extra_tm_evidence	0			False	detected	58.6	3.9e-18	2.9e-18	59	1	True	0.8606557377	1	39	12	50	23	23	23	1	1	nat_78005b3dddedd0251b7e	0.62963	0.612612973	0.972972973	1	3.09e-37	vae_candidate_000715	0.6306312613	0.3693687387	True	0.36036036036	0.447498651083	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	211	1	0	1	211	111	0.540740740741	0.241980752067	0.701240011326	136	True		0.667128687286
9	vae_candidate_000948	e7dae682b64984c3f4f9cde3f0526632d867d7ef9cf5d83d26730717644171c2	True	False	eos	105	104	True	False	False	False	True	0.0303959334786	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	104	nat_168a7720be25950ce7a5	"[""nat_168a7720be25950ce7a5"", ""nat_3e6bf91c590be6684eed"", ""nat_a49cfe7d33cec22c3905"", ""nat_ccd25408209dd226eaf9""]"	4	94	316.5	106	92	75	0.815217391304	0.884615384615	0.978723404255	0.721153846154	0.278846153846	resolved		346	153	True	no_extra_domain_evidence		1	0	PF00741:12-50	no_extra_tm_evidence	0		base:manual_review	True	detected	59.6	1.9e-18	1.4e-18	60	1	True	0.9590163934	1	39	12	50	23	23	23	1	1	nat_144165ea4d3ea8a64b2e	0.78409	0.6634607692	0.8461538462	0.9263157895	6.32e-42	vae_candidate_000627	0.6730769231	0.3269230769	True	0.278846153846	0.398532619551	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	947	1	0	1	947	104	0.881481481481	0.351299123901	0.469817642419	136	True		0.659098791699
10	vae_candidate_000505	7290561b620b4895054749ded8512e344d7c2f77aeb8b73fc371ad126d8cc062	True	False	eos	83	82	True	False	False	False	True	0.00997619346114	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	82	nat_d4ba65189ba86a477cc5	"[""nat_d4ba65189ba86a477cc5""]"	1	92	260	96	78	64	0.820512820513	0.951219512195	0.847826086957	0.695652173913	0.304347826087	resolved		346	211	False	no_extra_domain_evidence		1	0	PF00741:14-52	no_extra_tm_evidence	0			False	detected	59.6	1.9e-18	1.6e-18	59.9	1	True	0.9590163934	1	39	14	52	23	23	22	1	0.9565217391	nat_73e0b5aa88a198c56cae	0.77333	0.6666637931	0.9146341463	0.8620689655	1.78e-34	vae_candidate_000792	0.6951219512	0.3048780488	True	0.304347826087	0.385696326546	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	504	1	0	1	504	82	0.688888888889	0.265701913843	0.576813024954	136	True		0.651395571283
