alignment_position	consensus	consensus_fraction	gap_fraction
35	L	0.9836065573770492	0.0
38	V	0.9672131147540983	0.0
43	L	1.0	0.0
44	D	0.9918032786885246	0.0
46	G	1.0	0.0
48	V	0.9836065573770492	0.0
50	D	1.0	0.0
54	R	1.0	0.0
56	S	0.9918032786885246	0.0
58	V	0.9344262295081968	0.0
59	G	1.0	0.0
60	I	0.9754098360655737	0.0
61	E	1.0	0.0
67	A	0.9180327868852459	0.0
68	R	1.0	0.0
70	V	0.9918032786885246	0.0
72	A	0.9918032786885246	0.0
73	S	0.9426229508196722	0.0
74	V	0.9836065573770492	0.0
75	D	0.9262295081967213	0.0
76	T	1.0	0.0
78	L	0.9672131147540983	0.0
81	A	0.9836065573770492	0.0
